Dataset,Mode,Alpha,Beta,Label Rate ( % ),Acc Mean,Acc Std
MUTAG,all_aug,0.5,0.3,1,0.632748544216156,"0.005956114828586578
"
MUTAG,all_aug,0.5,0.3,10,0.7973684668540955,"0.007537145167589188
"
PROTEINS,all_aug,0.5,0.3,10,0.7160875797271729,"0.004590931162238121
"
MUTAG,all_aug,0.5,0.5,1,0.7008772492408752,"0.010419327020645141
"
NCI1,all_aug,0.5,0.3,1,0.6165450215339661,"0.005116821080446243
"
PROTEINS,all_aug,0.5,0.5,10,0.7125160694122314,"0.0033676184713840483
"
MUTAG,all_aug,0.5,0.5,10,0.8137427568435669,"0.007966069877147675
"
NCI1,all_aug,0.5,0.3,10,0.7350364923477173,"0.002363008074462414
"
PROTEINS,all_aug,0.5,0.7,10,0.7232624888420105,"0.00342114232480526
"
MUTAG,all_aug,0.5,0.7,1,0.5701754093170166,"0.015009114146232605
"
MUTAG,all_aug,0.5,0.7,10,0.8403509259223938,"0.006627966463565826
"
PROTEINS,all_aug,0.7,0.3,10,0.7143501043319702,"0.005199918150901794
"
MUTAG,all_aug,0.7,0.3,1,0.6020467281341553,"0.019138315320014955
"
NCI1,all_aug,0.5,0.5,1,0.5905109643936157,"0.005785151198506355
"
MUTAG,all_aug,0.7,0.3,10,0.8198830485343933,"0.006025882810354233
"
PROTEINS,all_aug,0.7,0.5,10,0.7098134160041809,"0.005055065453052521
"
NCI1,all_aug,0.5,0.5,10,0.7406326532363892,"0.0028169719502329827
"
MUTAG,all_aug,0.7,0.5,1,0.6502923965454102,"0.012204814702272415
"
PROTEINS,all_aug,0.7,0.7,10,0.7153394818305969,"0.006806931644678116
"
MUTAG,all_aug,0.7,0.5,10,0.7608187198638916,"0.009980430454015731
"
PROTEINS,all_aug,0.9,0.3,10,0.7088159322738647,"0.004696990922093391
"
MUTAG,all_aug,0.7,0.7,1,0.5611110925674438,"0.021554046869277955
"
NCI1,all_aug,0.5,0.7,1,0.6038929224014282,"0.004425579681992531
"
MUTAG,all_aug,0.7,0.7,10,0.7874269485473633,"0.006957793980836869
"
PROTEINS,all_aug,0.9,0.5,10,0.7224340438842773,"0.005289977788925171
"
NCI1,all_aug,0.5,0.7,10,0.7369829416275024,"0.002243051305413246
"
MUTAG,all_aug,0.9,0.3,1,0.7026315927505493,"0.013816834986209869
"
MUTAG,all_aug,0.9,0.3,10,0.8029239773750305,"0.009176504611968995
"
PROTEINS,all_aug,0.9,0.7,10,0.6980293393135071,"0.004279341176152229
"
MUTAG,all_aug,0.9,0.5,1,0.5956140756607056,"0.008776313811540603
"
PROTEINS,louvain,0.5,None,10,0.7170206308364868,"0.0053760048002004625
"
