gamma_joao,reward,trialJobId,lr,intermediate
0.01,3.07456059447303,mejfo,0.001,[3.0745605944730308]
0.01,3.07604977084192,VtoOE,0.001,[3.0760497708419154]
0.01,3.08996414281394,qj0Ge,0.001,[3.089964142813944]
0.1,3.12187491722827,VfDb2,0.0001,[3.1218749172282667]
1,3.12324712625625,HxTgO,0.01,[3.1232471262562522]
0.01,3.15751935229683,DsiiU,0.0001,[3.1575193522968275]
1,3.21391822278553,dxKpO,0.001,[3.2139182227855314]
0.1,3.22289645361236,WXIds,0.01,[3.2228964536123628]
1,3.27351447021436,uRX6y,0.0001,[3.273514470214364]
0.01,3.7942697309955,GZdxK,0.0001,[3.7942697309955005]
